Source,Target,Weight
256,914,1
257,326,1
257,333,1
257,515,1
257,523,1
257,671,1
258,325,1
258,519,1
258,756,1
258,815,1
259,272,1
259,319,1
259,396,1
259,471,1
259,513,1
259,733,1
259,875,1
259,979,1
260,426,1
260,503,1
260,582,1
260,655,1
260,950,1
261,334,1
261,375,1
261,413,1
261,449,1
261,646,1
261,756,1
261,767,1
262,328,1
262,357,1
262,418,1
262,419,1
262,436,1
262,825,1
263,301,1
263,304,1
263,411,1
263,484,1
263,923,1
264,290,1
264,334,1
264,359,1
264,375,1
264,393,1
265,323,1
265,360,1
265,571,1
265,595,1
265,797,1
266,295,1
266,340,1
266,475,1
266,507,1
266,587,1
266,672,1
266,881,1
267,519,1
267,701,1
268,442,1
268,462,1
268,551,1
268,728,1
268,758,1
268,908,1
269,345,1
269,572,1
270,277,1
270,294,1
270,389,1
270,727,1
270,798,1
271,282,1
271,506,1
271,551,1
271,643,1
271,702,1
272,365,1
272,451,1
272,496,1
272,524,1
272,542,1
272,722,1
272,782,1
273,350,1
273,436,1
273,469,1
273,509,1
273,950,1
274,402,1
274,435,1
274,472,1
274,702,1
275,445,1
275,466,1
275,738,1
275,815,1
276,285,1
276,310,1
276,337,1
276,399,1
276,442,1
276,758,1
276,759,1
277,630,1
277,642,1
277,719,1
278,351,1
278,485,1
278,608,1
279,322,1
279,563,1
279,906,1
280,343,1
280,421,1
280,453,1
280,793,1
280,795,1
280,845,1
280,929,1
281,547,1
281,578,1
281,662,1
281,765,1
282,667,1
282,675,1
282,851,1
283,303,1
283,516,1
283,705,1
284,287,1
284,659,1
284,710,1
284,936,1
285,691,1
285,773,1
285,784,1
286,505,1
286,558,1
286,948,1
287,313,1
287,475,1
287,511,1
287,729,1
288,367,1
288,635,1
288,759,1
288,761,1
289,291,1
289,378,1
289,397,1
289,571,1
289,583,1
289,595,1
289,687,1
290,418,1
290,469,1
290,505,1
290,574,1
291,476,1
291,539,1
291,564,1
291,582,1
291,703,1
292,347,1
292,352,1
292,707,1
292,755,1
293,835,1
293,958,1
293,977,1
294,447,1
294,597,1
294,721,1
294,817,1
294,841,1
295,383,1
295,634,1
295,703,1
295,975,1
296,352,1
296,356,1
296,713,1
297,721,1
297,836,1
297,949,1
298,336,1
298,746,1
298,768,1
298,795,1
298,821,1
299,440,1
299,446,1
299,678,1
300,305,1
300,360,1
300,410,1
300,443,1
300,565,1
300,775,1
301,512,1
301,530,1
